Date,Number_of_game,Day_of_week,Visiting_team,Visiting_team_league,Visiting_team_game_number,Home_team,Home_team_league,Home_team_game_number,Visiting_team_score,Home_team_score,Length_of_game_in_outs,Day_night,Completion_information,Forfeit_information,Protest_information,Park_ID,Attendance,Time_of_game_in_minutes,Visiting_line_scores,Home_line_scores
4/5/15,0,Sun,SLN,NL,1,CHN,NL,1,3,0,54,N,,,,CHI11,35055,184,110010000,000000000
4/6/15,0,Mon,MIN,AL,1,DET,AL,1,0,4,51,D,,,,DET05,45030,150,000000000,03000100x
4/6/15,0,Mon,CLE,AL,1,HOU,AL,1,0,2,51,N,,,,HOU03,43753,150,000000000,00000101x
4/6/15,0,Mon,CHA,AL,1,KCA,AL,1,1,10,51,D,,,,KAN06,40085,170,000000100,01201051x
4/6/15,0,Mon,TOR,AL,1,NYA,AL,1,6,1,54,D,,,,NYC21,48469,179,005000100,000001000
4/6/15,0,Mon,TEX,AL,1,OAK,AL,1,0,8,51,N,,,,OAK01,36067,165,000000000,20020031x
4/6/15,0,Mon,ANA,AL,1,SEA,AL,1,1,4,51,D,,,,SEA03,45909,153,100000000,00202000x
4/6/15,0,Mon,BAL,AL,1,TBA,AL,1,6,2,54,D,,,,STP01,31042,181,100021011,000000110
4/6/15,0,Mon,SFN,NL,1,ARI,NL,1,5,4,54,N,,,,PHO01,49043,198,001040000,001000030
4/6/15,0,Mon,PIT,NL,1,CIN,NL,1,2,5,51,D,,,,CIN09,43633,150,000000020,00110003x
4/6/15,0,Mon,SDN,NL,1,LAN,NL,1,3,6,51,D,,,,LOS03,53518,184,100020000,00020013x
4/6/15,0,Mon,ATL,NL,1,MIA,NL,1,2,1,54,D,,,,MIA02,36969,156,100001000,001000000
4/6/15,0,Mon,COL,NL,1,MIL,NL,1,10,0,54,D,,,,MIL06,46032,180,402400000,000000000
4/6/15,0,Mon,BOS,AL,1,PHI,NL,1,8,0,54,D,,,,PHI13,45549,181,101020004,000000000
4/6/15,0,Mon,NYN,NL,1,WAS,NL,1,3,1,54,D,,,,WAS11,42295,155,000002100,000100000
4/7/15,0,Tue,TEX,AL,2,OAK,AL,2,3,1,54,N,,,,OAK01,15025,150,001020000,000001000
4/7/15,0,Tue,ANA,AL,2,SEA,AL,2,2,0,54,N,,,,SEA03,26545,133,000200000,000000000
4/7/15,0,Tue,BAL,AL,2,TBA,AL,2,6,5,54,N,,,,STP01,13906,202,420000000,001202000
4/7/15,0,Tue,SFN,NL,2,ARI,NL,2,6,7,51,N,,,,PHO01,22626,190,200112000,01303000x
4/7/15,0,Tue,SDN,NL,2,LAN,NL,2,7,3,54,N,,,,LOS03,40356,211,100000114,000002010
4/7/15,0,Tue,ATL,NL,2,MIA,NL,2,12,2,54,N,,,,MIA02,17483,194,700000104,000020000
4/7/15,0,Tue,COL,NL,2,MIL,NL,2,5,2,54,N,,,,MIL06,30222,168,000311000,000020000
4/8/15,0,Wed,MIN,AL,2,DET,AL,2,0,11,51,D,,,,DET05,28280,186,000000000,00342011x
4/8/15,0,Wed,CLE,AL,2,HOU,AL,2,2,0,54,N,,,,HOU03,23078,160,000100010,000000000
4/8/15,0,Wed,CHA,AL,2,KCA,AL,2,5,7,51,N,,,,KAN06,23385,191,030101000,10301002x
4/8/15,0,Wed,TOR,AL,2,NYA,AL,2,3,4,51,N,,,,NYC21,31020,176,001010010,00000103x
4/8/15,0,Wed,TEX,AL,3,OAK,AL,3,0,10,51,N,,,,OAK01,19479,175,000000000,00512110x
4/8/15,0,Wed,ANA,AL,3,SEA,AL,3,5,3,54,N,,,,SEA03,25495,168,410000000,001002000
4/8/15,0,Wed,BAL,AL,3,TBA,AL,3,0,2,51,N,,,,STP01,13569,180,000000000,00000101x
